7招让你在异性面前更自信|StreamData/7招让你在异性面前更自信.html|0|0|1357705135|1357705135||没错，姑娘们，就这么简单！如果你真的确实想要学习如何克服面对小伙子的羞涩，你就得信心满满！|0|-1
爱爱时猛然发现老公穿着闺蜜内裤|StreamData/爱爱时猛然发现老公穿着闺蜜内裤.html|0|0|1357705135|1357705135||老公脱去衣服后，竟然露出一个和我一模一样的内裤。于是我就开始质问老公，问他是从哪里弄得这个内裤！|0|-1
屌丝必学：10大特点让你成为女人抢手货|StreamData/屌丝必学：10大特点让你成为女人抢手货.html|0|0|1357705135|1357705135||现在中国，男性比例远远高于女性，处于扔一块板砖能砸到十个光棍的时代。剩男满街跑的同时，又有很多女人找不到对象|0|-1
房事后夫妻常聊的10个话题|StreamData/房事后夫妻常聊的10个话题.html|0|0|1357705135|1357705135||床除了作为两人之间亲密接触的舞台，更是让人放松的私人领地。但令人遗憾的是，记住这个道理的男人女人，并不是很多。|0|-1
关于情趣用品的8大误区|StreamData/关于情趣用品的8大误区.html|0|0|1357705135|1357705135||调查表明有夫妻生活的人比没有的人使用情趣玩具的情况更多，使用情趣玩具的伴侣通常性生活质量更高，情感亲密度也更好|0|-1
揭秘：3种最伤人的暧昧关系|StreamData/揭秘：3种最伤人的暧昧关系.html|0|0|1357705135|1357705135||对“哥哥”来说，小妹妹的存在意义是，令他有保护她的欲望，当男性内心的英雄主义需要倾泻的时候，当他感觉无助和寂寞的时候|0|-1
口述：性无能老公捉奸后旁观我嘿咻|StreamData/口述：性无能老公捉奸后旁观我嘿咻.html|0|0|1357705135|1357705135||我和我的老公结婚有七年了，结婚后我才发现我老公那方面不行，很无能，因为他对我很好，所以我没有提出离婚，但后来有个男的叫阿健|0|-1
哭泣or失忆 女人爱爱后的6种典型表现|StreamData/哭泣or失忆 女人爱爱后的6种典型表现.html|0|0|1357705135|1357705135||你以为高潮是你的女友从你那里获得的最快乐的事？对于那些技巧，你够自信吗？如果伴随着以下症状，恐怕血拼的快感也要排在高潮的前面了吧|0|-1
老婆假冒处女被前男友电话揭发|StreamData/老婆假冒处女被前男友电话揭发.html|0|0|1357705135|1357705135||待老婆上卫生间的时候，我悄悄打了电话过去，对方果然是个男人，他还说出了我老婆的姓名和出生年月|0|-1
揭秘：8种情景会逼女人红杏出墙|StreamData/揭秘：8种情景会逼女人红杏出墙.html|0|0|1357705135|1357705135||男人出轨似乎已经不是什么稀罕事了，然而在两性关系逐渐开放的现代社会里，也有一些女人因为某些原因红杏出墙。|0|-1
老婆每月制定性爱目标 防我出轨|StreamData/老婆每月制定性爱目标 防我出轨.html|0|0|1357705135|1357705135||米若红着一双眼睛，环抱着双腿坐在枕边，问我，你不爱我了吗？我委屈地看了一眼自己的身体|0|-1
女人偷情后身体会留下五个特征|StreamData/女人偷情后身体会留下五个特征.html|0|0|1357705135|1357705135||当观察一个女人的人中时，如发现上面有一条横长赤色如蛛蜘线的细线，这就可以知道“庐山真面目”了|0|-1
全球智商测试 女性百年来首次超男性|StreamData/全球智商测试 女性百年来首次超男性.html|0|0|1357705135|1357705135||英国《星期日泰晤士报》报道 妇女似乎在性别论战中赢得一场决定性胜利。心理学家发现，女性的智商分数首次超过男性。|0|-1
人妻宝典：善用7招让你们永远热恋|StreamData/人妻宝典：善用7招让你们永远热恋.html|0|0|1357705135|1357705135||婚后，个性不同的两个人生活在一起，生活习惯、脾气性格、兴趣爱好会有所不同。如果过于挑剔，非得把对方改变得符合自己的标准|0|-1
献初夜后 大款男友朝我胸部甩钞票|StreamData/献初夜后 大款男友朝我胸部甩钞票.html|0|0|1357705135|1357705135||当潮涌肆无忌惮地进入我的时候，我忍着撕心捏肺的痛，假装镇定地发出了欢快的声音，他越来越兴奋，越来越满足……事后|0|-1
新婚男女的7大尴尬性行为|StreamData/新婚男女的7大尴尬性行为.html|0|0|1357705135|1357705135||洞房花烛夜，令无数男人对这一夜都憧憬着无限的幻想和殷切的希望。但是，也就因期望值太高，所以，一旦“第一次”倒了胃口，幻想破灭，结果就会把一桩喜事变成一场闹剧|0|-1
揭秘：男人最怕老婆提及的7个敏感话题|StreamData/揭秘：男人最怕老婆提及的7个敏感话题.html|0|0|1357705135|1357705135||男人心理拥有有些不愿意提及的事，女人有时总是埋怨男人不讲理，可是有没想过是自己提到了他不想提的事呢？|0|-1
